Comuna;Inscritos_2004
ARICA;97298
CAMARONES;3825
GENERAL LAGOS;1893
PUTRE;6100
ALTO HOSPICIO;11583
CAMINA;3129
COLCHANE;2218
HUARA;3725
IQUIQUE;86104
PICA;3805
POZO ALMONTE;6948
ANTOFAGASTA;127718
CALAMA;70793
MARIA ELENA;5908
MEJILLONES;5490
OLLAGUE;1472
SAN PEDRO DE ATACAMA;3294
SIERRA GORDA;3557
TALTAL;6409
TOCOPILLA;14492
ALTO DEL CARMEN;3396
CALDERA;8099
COPIAPO;58862
CHANARAL;7810
DIEGO DE ALMAGRO;11379
FREIRINA;3614
HUASCO;5047
TIERRA AMARILLA;6960
VALLENAR;28411
ANDACOLLO;7511
CANELA;6290
COMBARBALA;8613
COQUIMBO;69695
ILLAPEL;16964
LA HIGUERA;2553
LA SERENA;77845
LOS VILOS;10166
MONTE PATRIA;16553
OVALLE;47829
PAIHUANO;2890
PUNITAQUI;6494
RIO HURTADO;3158
SALAMANCA;13118
VICUNA;12646
ALGARROBO;6508
CABILDO;10741
CALERA;27357
CALLE LARGA;6455
CARTAGENA;10957
CASABLANCA;11637
CATEMU;7368
CONCON;17182
EL QUISCO;7216
EL TABO;6243
HIJUELAS;8976
ISLA DE PASCUA;2284
JUAN FERNANDEZ;564
LA CRUZ;7443
LA LIGUA;17320
LIMACHE;20950
LOS ANDES;32148
LLAY LLAY;12276
NOGALES;11854
OLMUE;8902
PANQUEHUE;3875
PAPUDO;3591
PETORCA;5953
PUCHUNCAVI;8298
PUTAENDO;8368
QUILPUE;67056
QUILLOTA;42310
QUINTERO;12961
RINCONADA;5075
SAN ANTONIO;47462
SAN ESTEBAN;8369
SAN FELIPE;31278
SANTA MARIA;7445
SANTO DOMINGO;7251
VALPARAISO;172890
VILLA ALEMANA;44885
VINA DEL MAR;172516
ZAPALLAR;4598
ALHUE;2744
BUIN;32002
CALERA DE TANGO;10021
CERRILLOS;42405
CERRO NAVIA;74348
COLINA;32394
CONCHALI;86070
CURACAVI;12620
EL BOSQUE;86016
EL MONTE;14731
ESTACION CENTRAL;80502
HUECHURABA;33009
INDEPENDENCIA;46022
ISLA DE MAIPO;13376
LAMPA;17486
