Comuna;Validos_2004;Validosp_2004;Nulos_2004;Nulosp_2004;Blancos_2004;Blancosp_2004;Votacion_2004
ALHUE;2367;0.9423;66;0.0263;79;0.0314;2512
BUIN;27174;0.921;1275;0.0432;1057;0.0358;29506
CALERA DE TANGO;8848;0.9458;280;0.0299;227;0.0243;9355
CERRILLOS;33187;0.9026;2398;0.0652;1184;0.0322;36769
CERRO NAVIA;60320;0.9081;4057;0.0611;2045;0.0308;66422
COLINA;26821;0.9358;1069;0.0373;771;0.0269;28661
CONCHALI;66613;0.8827;6180;0.0819;2668;0.0354;75461
CURACAVI;10911;0.9373;449;0.0386;281;0.0241;11641
EL BOSQUE;66140;0.873;6242;0.0824;3384;0.0447;75766
EL MONTE;12718;0.9219;620;0.0449;458;0.0332;13796
ESTACION CENTRAL;61551;0.8844;5645;0.0811;2399;0.0345;69595
HUECHURABA;27575;0.922;1441;0.0482;891;0.0298;29907
INDEPENDENCIA;35542;0.9104;2546;0.0652;952;0.0244;39040
ISLA DE MAIPO;11765;0.9432;371;0.0297;338;0.0271;12474
LA CISTERNA;42979;0.8642;4959;0.0997;1794;0.0361;49732
LA FLORIDA;133845;0.9169;8319;0.057;3819;0.0262;145983
LA GRANJA;48040;0.8801;4442;0.0814;2105;0.0386;54587
LA PINTANA;47779;0.8902;3791;0.0706;2101;0.0391;53671
LA REINA;45917;0.9213;2493;0.05;1429;0.0287;49839
LAMPA;14733;0.9236;741;0.0465;477;0.0299;15951
LAS CONDES;104864;0.9343;5006;0.0446;2367;0.0211;112237
LO BARNECHEA;23424;0.9028;1602;0.0617;921;0.0355;25947
LO ESPEJO;47789;0.8642;5128;0.0927;2384;0.0431;55301
LO PRADO;47030;0.8678;4859;0.0897;2305;0.0425;54194
MACUL;53728;0.9179;3135;0.0536;1669;0.0285;58532
MAIPU;127531;0.9343;6488;0.0475;2484;0.0182;136503
MARIA PINTO;4911;0.9468;135;0.026;141;0.0272;5187
MELIPILLA;39947;0.8803;3230;0.0712;2201;0.0485;45378
NUNOA;93469;0.9405;3978;0.04;1934;0.0195;99381
PADRE HURTADO;13516;0.9199;656;0.0446;521;0.0355;14693
PAINE;20756;0.9198;1000;0.0443;809;0.0359;22565
PEDRO AGUIRRE CERDA;53479;0.8758;5426;0.0889;2159;0.0354;61064
PENAFLOR;29281;0.9148;1703;0.0532;1024;0.032;32008
PENALOLEN;76789;0.9092;5037;0.0596;2628;0.0311;84454
PIRQUE;8672;0.9418;276;0.03;260;0.0282;9208
PROVIDENCIA;65640;0.923;3621;0.0509;1855;0.0261;71116
PUDAHUEL;56000;0.8917;4496;0.0716;2302;0.0367;62798
PUENTE ALTO;108738;0.9116;7335;0.0615;3214;0.0269;119287
QUILICURA;33539;0.9239;1957;0.0539;807;0.0222;36303
QUINTA NORMAL;49627;0.8822;4919;0.0874;1710;0.0304;56256
RECOLETA;71472;0.9093;4643;0.0591;2483;0.0316;78598
RENCA;53685;0.9236;3094;0.0532;1345;0.0231;58124
SAN BERNARDO;85300;0.8891;7097;0.074;3541;0.0369;95938
SAN JOAQUIN;47201;0.9;3697;0.0705;1550;0.0296;52448
SAN JOSE DE MAIPO;7790;0.9349;380;0.0456;162;0.0194;8332
SAN MIGUEL;42699;0.8931;3624;0.0758;1488;0.0311;47811
SAN PEDRO;4379;0.9405;123;0.0264;154;0.0331;4656
SAN RAMON;42433;0.8665;4347;0.0888;2189;0.0447;48969
SANTIAGO;108200;0.9318;5555;0.0478;2365;0.0204;116120
TALAGANTE;23864;0.9175;1241;0.0477;904;0.0348;26009
TILTIL;7189;0.9394;258;0.0337;206;0.0269;7653
VITACURA;41553;0.9522;1376;0.0315;710;0.0163;43639
CABO DE HORNOS;847;0.9815;14;0.0162;2;0.0023;863
LAGUNA BLANCA;349;0.7211;38;0.0785;97;0.2004;484
NATALES;8843;0.9527;252;0.0271;187;0.0201;9282
PORVENIR;2145;0.9302;103;0.0447;58;0.0252;2306
PRIMAVERA;551;0.6022;182;0.1989;182;0.1989;915
PUNTA ARENAS;47010;0.8904;4182;0.0792;1603;0.0304;52795
RIO VERDE;399;0.9732;2;0.0049;9;0.022;410
SAN GREGORIO;701;0.9473;21;0.0284;18;0.0243;740
TIMAUKEL;363;0.9918;2;0.0055;1;0.0027;366
TORRES DEL PAINE;820;0.9785;7;0.0084;11;0.0131;838
AYSEN;8603;0.9261;357;0.0384;329;0.0354;9289
CHILE CHICO;2524;0.9708;35;0.0135;41;0.0158;2600
CISNES;2152;0.9835;21;0.0096;15;0.0069;2188
COCHRANE;1444;0.9763;15;0.0101;20;0.0135;1479
COYHAIQUE;20002;0.939;773;0.0363;526;0.0247;21301
GUAITECAS;780;0.9799;11;0.0138;5;0.0063;796
LAGO VERDE;553;0.9857;3;0.0053;5;0.0089;561
OHIGGINS;240;0.9677;4;0.0161;4;0.0161;248
RIO IBANEZ;1536;0.9654;25;0.0157;30;0.0189;1591
TORTEL;284;0.9965;0;0;1;0.0035;285
ANCUD;16821;0.9016;996;0.0534;840;0.045;18657
CALBUCO;11258;0.8791;686;0.0536;862;0.0673;12806
CASTRO;14401;0.9184;645;0.0411;634;0.0404;15680
CHAITEN;2810;0.972;38;0.0131;43;0.0149;2891
CHONCHI;5294;0.9573;113;0.0204;123;0.0222;5530
COCHAMO;2039;0.9466;50;0.0232;65;0.0302;2154
CORRAL;2983;0.9704;60;0.0195;31;0.0101;3074
CURACO DE VELEZ;2028;0.9741;22;0.0106;32;0.0154;2082
DALCAHUE;4315;0.9401;121;0.0264;154;0.0336;4590
