Comuna;Validos_2008;Validosp_2008;Nulos_2008;Nulosp_2008;Blancos_2008;Blancosp_2008;Votacion_2008;
ARICA;64480;0.9027;5270;0.0738;1684;0.0236;71434;
CAMARONES;2780;0.9395;101;0.0341;78;0.0264;2959;
GENERAL LAGOS;1305;0.9484;33;0.024;38;0.0276;1376;
PUTRE;3442;0.9446;68;0.0187;134;0.0368;3644;
ALTO HOSPICIO;14570;0.9408;620;0.04;297;0.0192;15487;
CAMINA;1808;0.9521;56;0.0295;35;0.0184;1899;
COLCHANE;1377;0.9711;11;0.0078;30;0.0212;1418;
HUARA;3015;0.9578;77;0.0245;56;0.0178;3148;
IQUIQUE;63092;0.9366;3077;0.0457;1194;0.0177;67363;
PICA;2911;0.9668;60;0.0199;40;0.0133;3011;
POZO ALMONTE;4130;0.9157;227;0.0503;153;0.0339;4510;
ANTOFAGASTA;90760;0.859;11617;0.11;3279;0.031;105656;
CALAMA;49103;0.9065;3668;0.0677;1397;0.0258;54168;
MARIA ELENA;2969;0.9486;119;0.038;42;0.0134;3130;
MEJILLONES;4956;0.9668;100;0.0195;70;0.0137;5126;
OLLAGUE;1035;0.981;7;0.0066;13;0.0123;1055;
SAN PEDRO DE ATACAMA;2643;0.9507;81;0.0291;56;0.0201;2780;
SIERRA GORDA;870;0.3905;1314;0.5898;44;0.0197;2228;
TALTAL;4648;0.9501;165;0.0337;79;0.0161;4892;
TOCOPILLA;10287;0.9289;607;0.0548;180;0.0163;11074;
ALTO DEL CARMEN;3227;0.9694;51;0.0153;51;0.0153;3329;
CALDERA;6391;0.953;205;0.0306;110;0.0164;6706;
CHANARAL;5778;0.9423;213;0.0347;141;0.023;6132;
COPIAPO;46183;0.9167;2946;0.0585;1249;0.0248;50378;
DIEGO DE ALMAGRO;6155;0.8793;590;0.0843;255;0.0364;7000;
FREIRINA;3149;0.966;62;0.019;49;0.015;3260;
HUASCO;4334;0.9728;64;0.0144;57;0.0128;4455;
TIERRA AMARILLA;6480;0.9478;223;0.0326;134;0.0196;6837;
VALLENAR;21588;0.9447;750;0.0328;513;0.0224;22851;
ANDACOLLO;6319;0.9595;147;0.0223;120;0.0182;6586;
CANELA;4942;0.9609;82;0.0159;119;0.0231;5143;
COMBARBALA;6626;0.9532;166;0.0239;159;0.0229;6951;
COQUIMBO;58939;0.9143;3736;0.058;1792;0.0278;64467;
ILLAPEL;12863;0.9532;357;0.0265;275;0.0204;13495;
LA HIGUERA;2513;0.9695;36;0.0139;43;0.0166;2592;
LA SERENA;61706;0.8937;5031;0.0729;2311;0.0335;69048;
LOS VILOS;8297;0.9448;272;0.031;213;0.0243;8782;
MONTE PATRIA;13491;0.9427;375;0.0262;445;0.0311;14311;
OVALLE;38883;0.9314;1645;0.0394;1220;0.0292;41748;
PAIHUANO;2648;0.9675;46;0.0168;43;0.0157;2737;
RIO HURTADO;2823;0.9768;35;0.0121;32;0.0111;2890;
SALAMANCA;10420;0.9487;277;0.0252;287;0.0261;10984;
VICUNA;10681;0.9522;309;0.0275;227;0.0202;11217;
ALGARROBO;5970;0.9606;176;0.0283;69;0.0111;6215;
CABILDO;9364;0.9465;293;0.0296;236;0.0239;9893;
CALERA;22268;0.9296;1157;0.0483;529;0.0221;23954;
CALLE LARGA;5576;0.9362;264;0.0443;116;0.0195;5956;
CARTAGENA;9923;0.9542;353;0.0339;123;0.0118;10399;
CASABLANCA;10544;0.9455;360;0.0323;248;0.0222;11152;
CATEMU;6540;0.9471;196;0.0284;169;0.0245;6905;
CONCON;15708;0.9506;559;0.0338;258;0.0156;16525;
EL QUISCO;6475;0.9567;214;0.0316;79;0.0117;6768;
EL TABO;5677;0.9468;231;0.0385;88;0.0147;5996;
HIJUELAS;7963;0.9423;281;0.0333;207;0.0245;8451;
ISLA DE PASCUA;1849;0.9788;31;0.0164;9;0.0048;1889;
JUAN FERNANDEZ;499;0.9804;8;0.0157;2;0.0039;509;
LA CRUZ;6609;0.9351;300;0.0424;159;0.0225;7068;
LA LIGUA;15440;0.9584;354;0.022;317;0.0197;16111;
LIMACHE;17855;0.9385;760;0.0399;410;0.0216;19025;
LLAY LLAY;10619;0.933;444;0.039;319;0.028;11382;
LOS ANDES;25910;0.9221;1553;0.0553;636;0.0226;28099;
NOGALES;9982;0.9003;751;0.0677;354;0.0319;11087;
OLMUE;7286;0.8886;611;0.0745;302;0.0368;8199;
PANQUEHUE;3589;0.9548;86;0.0229;84;0.0223;3759;
PAPUDO;3256;0.9554;82;0.0241;70;0.0205;3408;
PETORCA;5205;0.9609;113;0.0209;99;0.0183;5417;
