Comuna;Mesas_Total_2016;Inscritos_Total_2016;Votacion_2016;Participacion_2016
ARICA;568;168409;48958;0.2907
CAMARONES;11;4551;2475;0.5438
GENERAL LAGOS;7;2600;1230;0.4731
PUTRE;17;6369;2575;0.4043
ALTO HOSPICIO;145;48675;14162;0.291
CAMINA;7;2978;1662;0.5581
COLCHANE;14;3765;2140;0.5684
HUARA;30;9294;2350;0.2529
IQUIQUE;470;157867;46405;0.2939
PICA;14;5100;3143;0.6163
POZO ALMONTE;35;11189;5207;0.4654
ANTOFAGASTA;768;260299;66201;0.2543
CALAMA;361;122815;34793;0.2833
MARIA ELENA;17;6656;2263;0.34
MEJILLONES;29;9003;4720;0.5243
OLLAGUE;7;2202;1078;0.4896
SAN PEDRO DE ATACAMA;17;5680;3021;0.5319
SIERRA GORDA;13;4069;1506;0.3701
TALTAL;31;9997;4840;0.4841
TOCOPILLA;68;21742;8558;0.3936
ALTO DEL CARMEN;15;4858;2633;0.542
CALDERA;41;13668;6593;0.4824
CHANARAL;37;11727;5571;0.4751
COPIAPO;344;116156;40127;0.3455
DIEGO DE ALMAGRO;41;14100;4749;0.3368
FREIRINA;17;5591;3186;0.5698
HUASCO;24;7865;4247;0.54
TIERRA AMARILLA;37;12718;7180;0.5646
VALLENAR;131;44204;17007;0.3847
ANDACOLLO;33;11013;5846;0.5308
CANELA;26;8591;5393;0.6277
COMBARBALA;38;12348;6437;0.5213
COQUIMBO;448;152428;40802;0.2677
ILLAPEL;78;26737;12376;0.4629
LA HIGUERA;13;4168;2464;0.5912
LA SERENA;461;156538;39209;0.2505
LOS VILOS;51;17288;7464;0.4317
MONTE PATRIA;86;26550;11552;0.4351
OVALLE;252;87001;30352;0.3489
PAIHUANO;14;4727;2994;0.6334
PUNITAQUI;31;9944;5078;0.5107
RIO HURTADO;14;4697;2500;0.5323
SALAMANCA;66;21727;9904;0.4558
VICUNA;63;21667;11341;0.5234
ALGARROBO;34;11560;5854;0.5064
CABILDO;52;17704;8745;0.494
CALERA;129;43763;17562;0.4013
CALLE LARGA;31;10477;5144;0.491
CARTAGENA;54;16962;7709;0.4545
CASABLANCA;62;21105;9464;0.4484
CATEMU;34;11566;5730;0.4954
CONCON;101;34300;15455;0.4506
EL QUISCO;36;11176;5692;0.5093
EL TABO;29;9083;5024;0.5531
HIJUELAS;43;14637;7204;0.4922
ISLA DE PASCUA;15;5148;2419;0.4699
JUAN FERNANDEZ;2;870;532;0.6115
LA CRUZ;41;13958;7492;0.5368
LA LIGUA;85;28904;14640;0.5065
LIMACHE;107;36327;13557;0.3732
LLAY LLAY;59;19766;8517;0.4309
LOS ANDES;160;54356;19870;0.3656
NOGALES;63;19101;9073;0.475
OLMUE;44;14850;7953;0.5356
PANQUEHUE;18;6137;3611;0.5884
PAPUDO;16;5184;3595;0.6935
PETORCA;26;9069;4806;0.5299
PUCHUNCAVI;40;13809;7753;0.5614
PUTAENDO;39;13077;5895;0.4508
QUILLOTA;214;72390;24566;0.3394
QUILPUE;375;126962;38716;0.3049
QUINTERO;65;22182;11459;0.5166
RINCONADA;25;8499;5709;0.6717
SAN ANTONIO;226;76843;23717;0.3086
SAN ESTEBAN;41;13995;7495;0.5355
SAN FELIPE;174;58464;22397;0.3831
SANTA MARIA;34;11362;5468;0.4813
SANTO DOMINGO;34;10370;5560;0.5362
VALPARAISO;854;284198;88218;0.3104
VILLA ALEMANA;267;91418;29202;0.3194
VINA DEL MAR;899;294906;78257;0.2654
ZAPALLAR;21;7244;4240;0.5853
ALHUE;20;5813;3102;0.5336
BUIN;189;64927;27302;0.4205
CALERA DE TANGO;62;20910;10046;0.4804
CERRILLOS;205;67584;21687;0.3209
CERRO NAVIA;347;116423;36545;0.3139
COLINA;219;74843;24238;0.3239
CONCHALI;387;121265;31374;0.2587
CURACAVI;69;23570;11377;0.4827
EL BOSQUE;413;139195;32604;0.2342
EL MONTE;74;25688;11824;0.4603
ESTACION CENTRAL;377;126374;33162;0.2624
HUECHURABA;197;66640;25574;0.3838
INDEPENDENCIA;235;77520;23076;0.2977
ISLA DE MAIPO;73;25244;10601;0.4199
LA CISTERNA;259;84017;21524;0.2562
LA FLORIDA;896;299996;86042;0.2868
LA GRANJA;317;105549;22337;0.2116
LAMPA;148;47225;17498;0.3705
LA PINTANA;406;136563;29068;0.2129
LA REINA;282;90053;33415;0.3711
LAS CONDES;737;246481;89509;0.3631
LO BARNECHEA;210;71512;30348;0.4244
LO ESPEJO;295;93841;22518;0.24
LO PRADO;271;90731;22653;0.2497
MACUL;287;99299;30828;0.3105
MAIPU;1085;370091;102399;0.2767
MARIA PINTO;30;10249;5385;0.5254
MELIPILLA;265;90966;29762;0.3272
NUNOA;586;182372;65007;0.3565
PADRE HURTADO;110;37889;14833;0.3915
PAINE;139;47780;18773;0.3929
PEDRO AGUIRRE CERDA;310;96273;28562;0.2967
PENAFLOR;195;66651;26389;0.3959
PENALOLEN;547;183451;50118;0.2732
PIRQUE;60;20428;8051;0.3941
PROVIDENCIA;493;162963;61479;0.3773
PUDAHUEL;478;161613;38952;0.241
PUENTE ALTO;1168;374571;85296;0.2277
QUILICURA;364;125232;37075;0.2961
QUINTA NORMAL;304;101589;25081;0.2469
RECOLETA;435;140760;41082;0.2919
RENCA;338;114853;31418;0.2735
SAN BERNARDO;648;218593;52948;0.2422
SAN JOAQUIN;263;84181;19906;0.2365
SAN JOSE DE MAIPO;43;14613;6254;0.428
SAN MIGUEL;294;97322;26654;0.2739
SAN PEDRO;23;7682;4541;0.5911
SAN RAMON;249;82969;23550;0.2838
SANTIAGO;899;302535;67509;0.2231
TALAGANTE;159;54260;20867;0.3846
TILTIL;40;13602;6169;0.4535
VITACURA;260;84393;38006;0.4503
CHEPICA;39;13299;6864;0.5161
CHIMBARONGO;84;28809;13793;0.4788
CODEGUA;31;10712;6211;0.5798
COINCO;20;6704;3684;0.5495
COLTAUCO;44;14950;7389;0.4942
DONIHUE;49;17206;8511;0.4947
GRANEROS;75;25563;12691;0.4965
LA ESTRELLA;9;3563;2529;0.7098
LAS CABRAS;55;18970;10047;0.5296
LITUECHE;17;5899;4098;0.6947
