Comuna;Mesas_Total_2017a;Inscritos_Total_2017a;Votacion_2017a;Participacion_2017a
ARICA;494;172372;71229;0.4132
CAMARONES;11;4023;1143;0.2841
GENERAL LAGOS;6;2421;598;0.247
PUTRE;16;6246;1953;0.3127
ALTO HOSPICIO;151;51451;18684;0.3631
CAMINA;7;2820;764;0.2709
COLCHANE;10;3379;646;0.1912
HUARA;31;9046;1571;0.1737
IQUIQUE;472;160432;67854;0.4229
PICA;13;5000;2405;0.481
POZO ALMONTE;37;11215;4322;0.3854
ANTOFAGASTA;773;264504;108615;0.4106
CALAMA;364;125030;50589;0.4046
MARIA ELENA;17;6607;1632;0.247
MEJILLONES;29;9058;3679;0.4062
OLLAGUE;5;2027;265;0.1307
SAN PEDRO DE ATACAMA;17;5903;2521;0.4271
SIERRA GORDA;9;3588;722;0.2012
TALTAL;31;10133;3978;0.3926
TOCOPILLA;69;21912;8281;0.3779
ALTO DEL CARMEN;15;4786;1927;0.4026
CALDERA;41;13921;6153;0.442
CHANARAL;38;11818;5052;0.4275
COPIAPO;346;117897;51897;0.4402
DIEGO DE ALMAGRO;42;13938;4793;0.3439
FREIRINA;17;5682;2663;0.4687
HUASCO;24;8030;3601;0.4484
TIERRA AMARILLA;37;12577;5444;0.4329
VALLENAR;132;44821;19342;0.4315
ANDACOLLO;34;11040;5160;0.4674
CANELA;27;8778;4098;0.4668
COMBARBALA;38;12406;5409;0.436
COQUIMBO;457;156212;68739;0.44
ILLAPEL;79;27019;12098;0.4478
LA HIGUERA;13;4162;1822;0.4378
LA SERENA;471;160944;76372;0.4745
LOS VILOS;54;17434;7747;0.4444
MONTE PATRIA;89;27066;11007;0.4067
OVALLE;260;88386;36512;0.4131
PAIHUANO;15;4769;2156;0.4521
PUNITAQUI;31;10130;4565;0.4506
RIO HURTADO;15;4739;2000;0.422
SALAMANCA;66;22174;9632;0.4344
VICUNA;64;22062;9966;0.4517
ALGARROBO;35;11810;6329;0.5359
CABILDO;53;17830;8331;0.4672
CALERA;130;44286;20524;0.4634
CALLE LARGA;32;10666;5480;0.5138
CARTAGENA;55;17294;8401;0.4858
CASABLANCA;62;21299;10239;0.4807
CATEMU;35;11716;5411;0.4618
CONCON;104;35636;20565;0.5771
EL QUISCO;36;11681;6082;0.5207
EL TABO;31;9295;4942;0.5317
HIJUELAS;43;14810;6685;0.4514
ISLA DE PASCUA;16;5302;1981;0.3736
JUAN FERNANDEZ;2;853;307;0.3599
LA CRUZ;42;14333;7692;0.5367
LA LIGUA;85;29355;14765;0.503
LIMACHE;108;37014;17408;0.4703
LLAY LLAY;59;20097;9631;0.4792
LOS ANDES;161;54875;26340;0.48
NOGALES;63;19211;9047;0.4709
OLMUE;44;15216;7297;0.4796
PANQUEHUE;19;6197;3097;0.4998
PAPUDO;17;5305;2993;0.5642
PETORCA;26;9119;4188;0.4593
PUCHUNCAVI;41;14026;6642;0.4735
PUTAENDO;39;13290;5964;0.4488
QUILLOTA;214;73240;34042;0.4648
QUILPUE;380;129100;63140;0.4891
QUINTERO;67;22754;10695;0.47
RINCONADA;25;8675;4399;0.5071
SAN ANTONIO;227;77270;37628;0.487
SAN ESTEBAN;42;14204;7382;0.5197
SAN FELIPE;174;58965;27722;0.4701
SANTA MARIA;34;11567;5769;0.4987
SANTO DOMINGO;34;10455;6392;0.6114
VALPARAISO;868;285301;120441;0.4222
VILLA ALEMANA;271;93284;46332;0.4967
VINA DEL MAR;901;295845;137327;0.4642
ZAPALLAR;21;7356;4137;0.5624
ALHUE;20;5776;2203;0.3814
BUIN;194;67229;31858;0.4739
CALERA DE TANGO;62;21303;11810;0.5544
CERRILLOS;205;67804;31945;0.4711
CERRO NAVIA;350;116335;50772;0.4364
COLINA;231;79070;37573;0.4752
CONCHALI;387;120866;55794;0.4616
CURACAVI;70;24246;12439;0.513
EL BOSQUE;412;139338;62320;0.4473
EL MONTE;76;26123;13366;0.5117
ESTACION CENTRAL;383;126168;55101;0.4367
HUECHURABA;201;68039;35684;0.5245
INDEPENDENCIA;235;78356;33945;0.4332
ISLA DE MAIPO;75;25766;12833;0.4981
LA CISTERNA;259;83686;41212;0.4925
LA FLORIDA;899;301998;156158;0.5171
LA GRANJA;318;105302;45784;0.4348
LAMPA;153;49911;23479;0.4704
LA PINTANA;409;137423;50714;0.369
LA REINA;283;89772;54664;0.6089
LAS CONDES;742;251198;156112;0.6215
LO BARNECHEA;216;74117;46626;0.6291
LO ESPEJO;293;93275;39777;0.4264
LO PRADO;272;90439;43141;0.477
MACUL;287;99498;51066;0.5132
MAIPU;1105;376042;192085;0.5108
MARIA PINTO;30;10440;4869;0.4664
MELIPILLA;269;92804;41722;0.4496
NUNOA;594;185175;113044;0.6105
PADRE HURTADO;115;39404;20113;0.5104
PAINE;143;49054;23409;0.4772
PEDRO AGUIRRE CERDA;317;95614;46720;0.4886
PENAFLOR;198;68024;34074;0.5009
PENALOLEN;552;185846;91593;0.4928
PIRQUE;72;20881;10651;0.5101
PROVIDENCIA;493;164311;89851;0.5468
PUDAHUEL;482;163680;76018;0.4644
PUENTE ALTO;1187;382776;163377;0.4268
QUILICURA;373;128414;60850;0.4739
QUINTA NORMAL;304;101796;46799;0.4597
RECOLETA;454;141758;62807;0.4431
RENCA;341;115189;49289;0.4279
SAN BERNARDO;652;221169;94427;0.4269
SAN JOAQUIN;263;83527;40021;0.4791
SAN JOSE DE MAIPO;43;14860;7344;0.4942
SAN MIGUEL;294;99938;49529;0.4956
SAN PEDRO;23;7846;3288;0.4191
SAN RAMON;251;82960;37444;0.4514
SANTIAGO;924;312750;129690;0.4147
TALAGANTE;160;55214;29905;0.5416
TILTIL;47;13799;6635;0.4808
VITACURA;260;85041;58756;0.6909
CHEPICA;39;13377;5566;0.4161
CHIMBARONGO;85;29249;14432;0.4934
CODEGUA;32;10799;5039;0.4666
COINCO;21;6809;3122;0.4585
COLTAUCO;45;15198;6771;0.4455
DONIHUE;50;17461;8115;0.4648
GRANEROS;76;25837;12777;0.4945
LA ESTRELLA;9;3458;1659;0.4798
LAS CABRAS;55;19230;8592;0.4468
LITUECHE;18;5912;2817;0.4765
LOLOL;21;6554;2952;0.4504
MACHALI;95;32912;17284;0.5252
MALLOA;38;11885;5862;0.4932
MARCHIGUE;21;6570;3024;0.4603
MOSTAZAL;60;19782;9686;0.4896
NANCAGUA;43;14681;7045;0.4799
NAVIDAD;19;5779;2844;0.4921
OLIVAR;38;11900;5987;0.5031
PALMILLA;30;10094;4897;0.4851
PAREDONES;22;6587;2932;0.4451
PERALILLO;30;9766;4473;0.458
PEUMO;37;12468;6196;0.497
PICHIDEGUA;48;16114;7329;0.4548
PICHILEMU;39;13345;7019;0.526
PLACILLA;25;7930;4186;0.5279
PUMANQUE;13;3833;1784;0.4654
QUINTA DE TILCOCO;35;11916;6521;0.5472
RANCAGUA;559;189939;89644;0.472
RENGO;136;47074;22713;0.4825
REQUINOA;64;21771;10449;0.48
SAN FERNANDO;178;60962;30726;0.504
SANTA CRUZ;88;30272;13516;0.4465
SAN VICENTE;113;38951;17908;0.4598
CAUQUENES;119;37336;17217;0.4611
CHANCO;28;9193;4459;0.485
COLBUN;51;17015;8622;0.5067
CONSTITUCION;116;38901;17949;0.4614
CUREPTO;30;10152;4582;0.4513
CURICO;327;112702;57127;0.5069
EMPEDRADO;14;4332;2230;0.5148
HUALANE;29;9318;4732;0.5078
LICANTEN;22;6787;3298;0.4859
LINARES;233;80185;35762;0.446
LONGAVI;74;25681;10963;0.4269
MAULE;60;20151;9821;0.4874
MOLINA;115;37949;18608;0.4903
PARRAL;119;37035;17240;0.4655
PELARCO;25;8097;3836;0.4738
PELLUHUE;21;6851;3676;0.5366
PENCAHUE;35;10231;5319;0.5199
RAUCO;28;9446;4700;0.4976
RETIRO;48;16427;7931;0.4828
RIO CLARO;33;11245;5452;0.4848
ROMERAL;39;13178;6752;0.5124
SAGRADA FAMILIA;45;15366;7795;0.5073
SAN CLEMENTE;105;35529;16578;0.4666
SAN JAVIER;111;37641;17076;0.4537
SAN RAFAEL;24;7847;4059;0.5173
TALCA;511;174921;88083;0.5036
TENO;69;23742;10467;0.4409
VICHUQUEN;14;4965;2409;0.4852
VILLA ALEGRE;41;13069;6302;0.4822
YERBAS BUENAS;44;13995;6730;0.4809
ALTO BIOBIO;16;5290;1876;0.3546
ANTUCO;14;4440;1872;0.4216
ARAUCO;109;29925;14354;0.4797
BULNES;65;20161;9680;0.4801
CABRERO;71;24289;11042;0.4546
