Comuna;Mesas_Total_2017b;Inscritos_Total_2017b;Votacion_2017b;Participacion_2017b
ARICA;494;172372;68463;0.3972
CAMARONES;11;4023;944;0.2347
GENERAL LAGOS;6;2421;326;0.1347
PUTRE;16;6246;1483;0.2374
ALTO HOSPICIO;151;51451;17582;0.3417
CAMINA;7;2820;803;0.2848
COLCHANE;10;3379;894;0.2646
HUARA;31;9046;1502;0.166
IQUIQUE;472;160432;66021;0.4115
PICA;13;5000;2342;0.4684
POZO ALMONTE;37;11215;4180;0.3727
ANTOFAGASTA;773;264504;109808;0.4151
CALAMA;364;125030;51791;0.4142
MARIA ELENA;17;6607;1639;0.2481
MEJILLONES;29;9058;3698;0.4083
OLLAGUE;5;2027;275;0.1357
SAN PEDRO DE ATACAMA;17;5903;2454;0.4157
SIERRA GORDA;9;3588;623;0.1736
TALTAL;31;10133;3906;0.3855
TOCOPILLA;69;21912;8186;0.3736
ALTO DEL CARMEN;15;4786;1929;0.4031
CALDERA;41;13921;6376;0.458
CHANARAL;38;11818;4808;0.4068
COPIAPO;346;117897;52940;0.449
DIEGO DE ALMAGRO;42;13938;4765;0.3419
FREIRINA;17;5682;2692;0.4738
HUASCO;24;8030;3724;0.4638
TIERRA AMARILLA;37;12577;5529;0.4396
VALLENAR;132;44821;19987;0.4459
ANDACOLLO;34;11040;5488;0.4971
CANELA;27;8778;4512;0.514
COMBARBALA;38;12406;5578;0.4496
COQUIMBO;457;156212;70526;0.4515
ILLAPEL;79;27019;12190;0.4512
LA HIGUERA;13;4162;1883;0.4524
LA SERENA;471;160944;79173;0.4919
LOS VILOS;54;17434;8023;0.4602
MONTE PATRIA;89;27066;11231;0.4149
OVALLE;260;88386;38639;0.4372
PAIHUANO;15;4769;2307;0.4837
PUNITAQUI;31;10130;4614;0.4555
RIO HURTADO;15;4739;2031;0.4286
SALAMANCA;66;22174;10000;0.451
VICUNA;64;22062;10478;0.4749
ALGARROBO;35;11810;6696;0.567
CABILDO;53;17830;8555;0.4798
CALERA;130;44286;21210;0.4789
CALLE LARGA;32;10666;5662;0.5308
CARTAGENA;55;17294;9011;0.521
