Comuna;Mesas_Total_2021;Inscritos_Total_2021;Votacion_sab_2021;Porcentaje_sab_2021;Votacion_2021;Porcentaje_2021
ARICA;560;180060;33135;18.4;65630;36.45
CAMARONES;11;3392;1092;32.19;1766;52.06
GENERAL LAGOS;7;2006;372;18.54;753;37.54
PUTRE;20;6059;1350;22.28;2303;38.01
ALTO HOSPICIO;174;58683;7651;13.04;19104;32.55
CAMINA;9;2802;698;24.91;1502;53.6
COLCHANE;14;3463;972;28.07;1813;52.35
HUARA;37;9373;1269;13.54;2625;28.01
IQUIQUE;613;167552;26669;15.92;62200;37.12
PICA;22;5779;1718;29.73;3525;61
POZO ALMONTE;47;11898;1880;15.8;5501;46.23
ANTOFAGASTA;837;286950;39638;13.81;105189;36.66
CALAMA;389;132333;20649;15.6;45826;34.63
MARIA ELENA;23;6370;791;12.42;2173;34.11
MEJILLONES;30;10035;2347;23.39;5301;52.83
OLLAGUE;6;1694;18;1.06;794;46.87
SAN PEDRO DE ATACAMA;21;7194;1534;21.32;3849;53.5
SIERRA GORDA;11;3364;565;16.8;1284;38.17
TALTAL;31;10511;2160;20.55;5029;47.85
TOCOPILLA;69;22335;3498;15.66;8447;37.82
ALTO DEL CARMEN;18;5202;1348;25.91;2900;55.75
CALDERA;44;15024;3284;21.86;7331;48.8
CHANARAL;38;12045;2211;18.36;5434;45.11
COPIAPO;416;123973;18014;14.53;44853;36.18
DIEGO DE ALMAGRO;44;13390;1950;14.56;5199;38.83
FREIRINA;18;6019;1325;22.01;3163;52.55
HUASCO;25;8409;1848;21.98;4515;53.69
TIERRA AMARILLA;43;12798;2095;16.37;6060;47.35
VALLENAR;135;45529;11439;25.12;17877;39.27
ANDACOLLO;35;11296;2462;21.8;6098;53.98
CANELA;29;9047;2510;27.74;5358;59.22
COMBARBALA;39;12550;2732;21.77;5569;44.37
COQUIMBO;490;167854;28040;16.7;64764;38.58
ILLAPEL;81;27921;6123;21.93;13238;47.41
LA HIGUERA;14;4505;1311;29.1;2538;56.34
LA SERENA;510;174853;31755;18.16;70257;40.18
LOS VILOS;56;18266;3441;18.84;8037;44
MONTE PATRIA;102;28025;5132;18.31;11838;42.24
OVALLE;271;91832;14887;16.21;32683;35.59
PAIHUANO;16;5389;1560;28.95;3317;61.55
PUNITAQUI;32;10763;2345;21.79;4983;46.3
RIO HURTADO;18;4938;1280;25.92;2528;51.19
SALAMANCA;70;23431;4514;19.27;10292;43.92
VICUNA;69;23678;5783;24.42;11959;50.51
ALGARROBO;40;13779;3903;28.33;7588;55.07
CABILDO;53;18038;4015;22.26;8392;46.52
CALERA;132;44980;8555;19.02;19476;43.3
CALLE LARGA;34;11445;2653;23.18;5983;52.28
CARTAGENA;55;18227;4079;22.38;8407;46.12
CASABLANCA;65;22469;5450;24.26;10971;48.83
CATEMU;36;12182;2642;21.69;5972;49.02
CONCON;115;39439;12037;30.52;22587;57.27
EL QUISCO;41;13781;3925;28.48;7908;57.38
EL TABO;35;11931;3866;32.4;7099;59.5
HIJUELAS;46;15609;3386;21.69;7473;47.88
ISLA DE PASCUA;19;6299;1520;24.13;3476;55.18
JUAN FERNANDEZ;4;979;350;35.75;648;66.19
