Comuna;Año.de.Elección;Candidato..a.;Sigla.Partido;Votos.Totales;Porcentaje.2021;Electo;Lista
ARICA;2021;250. LUIS IVAN PAREDES FIERRO;IND;7614;11.95;;M
ARICA;2021;251. GERARDO ALFREDO ESPINDOLA ROJAS;PL;20992;32.94;Electo;XS
ARICA;2021;252. GIANCARLO BALTOLU QUINTANO;EVOPOLI;5395;8.47;;XX
ARICA;2021;253. PAUL EDUARDO CARVAJAL QUIROZ;PH;5867;9.21;;XY
ARICA;2021;254. RAYKO ALEJANDRO KARMELIC PAVLOV;IND;6906;10.84;;IND
ARICA;2021;255. LEONARDO ENRIQUE BORQUEZ CASTILLO;IND;4334;6.8;;IND
ARICA;2021;256. RICARDO LUIS SANZANA OTEIZA;IND;7096;11.14;;IND
ARICA;2021;257. CARLOS RAUL VALCARCE MEDINA;IND;4398;6.9;;IND
ARICA;2021;258. RAFAEL DEL CARMEN ORTEGA ALIAGA;IND;1118;1.75;;IND
CAMARONES;2021;250. CRISTIAN JAVIER ZAVALA SOTO;PDC;585;33.74;Electo;XU
CAMARONES;2021;251. RICARDO CEPEDA SOTO;UDI;419;24.16;;XX
CAMARONES;2021;252. VLADIMIR GUSTAVO CACERES SALINAS;IND;137;7.9;;IND
CAMARONES;2021;253. MARTIN RICARDO MONTECINOS ROMERO;IND;543;31.31;;IND
CAMARONES;2021;254. JAVIER ENRIQUE DIAZ CALDERON;IND;50;2.88;;IND
GENERAL LAGOS;2021;250. ROSA MAITA QUERQUEZANA;IND;92;12.4;;K
GENERAL LAGOS;2021;251. ALEX CASTILLO BLAS;RN;374;50.4;Electo;XX
GENERAL LAGOS;2021;252. FLORENCIO MARTIN VILLANUEVA SARCO;IND;276;37.2;;IND
PUTRE;2021;250. LINO MAMANI VICENTE;PPD;366;16.23;;K
PUTRE;2021;251. SERGIO DAVID GAMBOA MORALES;IND;86;3.81;;M
PUTRE;2021;252. MARICEL GUTIERREZ CASTRO;IND;1303;57.78;Electo;IND
PUTRE;2021;253. CRISTIAN ANDRES BILBAO APATA;IND;500;22.17;;IND
ALTO HOSPICIO;2021;250. PATRICIO FERREIRA RIVERA;PDC;6833;36.46;Electo;XU
ALTO HOSPICIO;2021;251. CAMILA ARCE FAJARDO;IND;2457;13.11;;XX
ALTO HOSPICIO;2021;252. RENE DANIEL CACERES ARAYA;IND;1653;8.82;;IND
