"Comuna","COD","Votacion_2004","Votacion_2008","Votacion_2012","Votacion_2016","Votacion_2021","Participacion_2004","Participacion_2008","Participacion_2012","Participacion_2016","Participacion_2021","Inscritos_2004","Inscritos_2008","Inscritos_Total_2012","Inscritos_Total_2016","Inscritos_Total_2021","n_prot","prot_dum","treat","concertatotal_2004","concertatotal_2008","concertatotal_2012","concertatotal_2016","concertatotal_2021","concerta_prop_2004","concerta_prop_2008","concerta_prop_2012","concerta_prop_2016","concerta_prop_2021","derechatotal_2004","derechatotal_2008","derechatotal_2012","derechatotal_2016","derechatotal_2021","derecha_prop_2004","derecha_prop_2008","derecha_prop_2012","derecha_prop_2016","derecha_prop_2021","indeptotal_2004","indeptotal_2008","indeptotal_2012","indeptotal_2016","indeptotal_2021","indep_prop_2004","indep_prop_2008","indep_prop_2012","indep_prop_2016","indep_prop_2021","otrostotal_2004","otrostotal_2008","otrostotal_2012","otrostotal_2016","otrostotal_2021","otros_prop_2004","otros_prop_2008","otros_prop_2012","otros_prop_2016","otros_prop_2021"
"ALGARROBO",5602,5839,6215,6180,5854,7588,0.89720344191764,0.877576955662242,0.5735,0.5064,0.5507,6508,7082,10776,11560,13779,0,0,"Control",317,1197,403,744,0,0.0542901181709197,0.192598551890587,0.065210355987055,0.127092586265801,0,2317,2471,1804,1446,3817,0.396814523034766,0.397586484312148,0.291909385113269,0.247010591048855,0.503031101739589,3050,2137,3795,3505,3483,0.522349717417366,0.343845534995977,0.614077669902913,0.598735907072087,0.459014232999473,0,165,0,0,167,0,0.0265486725663717,0,0,0.022008434370058
"ALHUE",13502,2512,2841,3218,3102,3478,0.915451895043732,0.934846989141165,0.482,0.5336,0.5653,2744,3039,6676,5813,6153,0,0,"Control",0,0,0,2477,2645,0,0,0,0.798517085751128,0.760494537090282,292,212,44,0,0,0.116242038216561,0.0746216121084125,0.0136730888750777,0,0,2004,2494,1738,0,744,0.797770700636943,0.877859908482928,0.540087010565569,0,0.213916043703278,71,34,1378,602,0,0.0282643312101911,0.0119676170362548,0.428216283405842,0.194068343004513,0
"ALTO BIOBIO",8314,2021,2393,2951,3148,3274,0.86,0.881075110456554,0.605,0.5918,0.5892,2350,2716,4878,5319,5557,0,0,"Control",692,890,673,2036,1651,0.342404750123701,0.371918094442123,0.228058285327008,0.646759847522236,0.504276114844227,335,582,1597,0,579,0.16575952498763,0.243209360635186,0.541172483903761,0,0.176847892486255,812,352,405,1032,839,0.401781296387927,0.147095695779356,0.137241613012538,0.327827191867853,0.256261453879047,0,366,137,0,83,0,0.152946092770581,0.0464249406980684,0,0.0253512522907758
"ALTO DEL CARMEN",3302,2989,3329,3058,2633,2900,0.880153121319199,0.878595935603061,0.6128,0.542,0.5575,3396,3789,4990,4858,5202,2,1,"Treated",1433,1367,450,992,1493,0.479424556707929,0.410633823971162,0.147155003270111,0.37675655146221,0.514827586206897,1434,1510,791,1564,1362,0.479759116761459,0.453589666566536,0.258665794637018,0.593999240410178,0.469655172413793,0,250,1658,0,0,0,0.0750976269149895,0.542184434270765,0,0,48,100,120,0,0,0.0160588825694212,0.0300390507659958,0.039241334205363,0,0
"ALTO HOSPICIO",1107,10316,15487,13149,14162,19104,0.890615557282224,0.86456763244571,0.3365,0.291,0.3255,11583,17913,39080,48675,58683,33,1,"Treated",2538,4539,3782,6158,6833,0.246025591314463,0.293084522502744,0.287626435470378,0.434825589605988,0.35767378559464,3482,9522,7448,4795,2457,0.337533927879023,0.614838251436689,0.56643090729333,0.338582121169326,0.128611809045226,145,0,0,2098,9451,0.0140558355951919,0,0,0.148142917666996,0.494713149078727,3586,509,1099,653,0,0.347615354788678,0.0328662749402725,0.0835805004182828,0.0461093065951137,0
"ANCUD",10202,18657,19054,17765,16194,15565,0.85527642798203,0.863970254829056,0.4894,0.4316,0.4007,21814,22054,36301,37520,38845,16,1,"Treated",9519,7068,8523,3873,516,0.510210644798199,0.370945733179385,0.479763580073178,0.239162652834383,0.033151300995824,5486,8896,7551,4554,1380,0.294045130514016,0.466883593996011,0.425049254151421,0.281215264912931,0.0886604561516222,761,871,0,7242,13265,0.0407889800075039,0.0457121864175501,0,0.447202667654687,0.852232573080629,1055,785,870,0,0,0.0565471404834646,0.0411986984360239,0.0489726991274979,0,0
"ANDACOLLO",4103,6581,6586,6273,5846,6098,0.876181600319531,0.881070234113712,0.5697,0.5308,0.5398,7511,7475,11012,11013,11296,4,1,"Treated",3103,2155,3635,2807,1897,0.471508889226561,0.327209231703614,0.579467559381476,0.480157372562436,0.311085601836668,2639,482,232,1799,907,0.401002887099225,0.0731855450956575,0.0369838992507572,0.307731782415327,0.148737290915054,283,3682,2203,0,2972,0.0430025831940435,0.559064682660188,0.351187629523354,0,0.487372909150541,172,0,0,1080,219,0.0261358456161678,0,0,0.184741703729045,0.0359134142341751
"ANGOL",9201,23671,23438,22345,18387,16179,0.821196877710321,0.814724694104561,0.506,0.3989,0.3432,28825,28768,44164,46099,47137,5,1,"Treated",6792,6870,9509,4359,1836,0.286933378395505,0.293113746906733,0.425553815171179,0.23706966878773,0.113480437604302,3570,9014,8918,13318,8570,0.150817455958768,0.384589128765253,0.399104945177892,0.724316092891717,0.529698992521169,11134,6082,0,0,5381,0.470364581133032,0.259493130813209,0,0,0.332591631126769,774,461,3280,0,0,0.0326982383507245,0.0196689137298404,0.146788990825688,0,0
"ANTOFAGASTA",2101,103701,105656,76196,66201,105189,0.811952896224495,0.817865851298525,0.3181,0.2543,0.3666,127718,129185,239540,260299,286950,187,1,"Treated",23351,28032,21340,5725,11333,0.225176227808796,0.26531384871659,0.280067195128353,0.0864790562076101,0.107739402408997,14036,10458,4147,14329,8871,0.135350671642511,0.0989816006663133,0.0544254291563862,0.216446881467047,0.0843339132418789,56946,46668,37794,35100,65756,0.549136459629126,0.44169758461422,0.496010289254029,0.530203471246658,0.625122398729905,2057,5602,10016,9385,17254,0.0198358742924369,0.0530211251608995,0.131450469840937,0.141765230132475,0.164028558119195
"ANTUCO",8302,2377,2459,2579,2515,2551,0.762347658755613,0.798895386614685,0.5911,0.5745,0.5407,3118,3078,4363,4378,4718,0,0,"Control",1809,1439,1198,659,0,0.761043331931005,0.585197234648231,0.464521132221791,0.262027833001988,0,389,920,247,63,160,0.163651661758519,0.374135827572184,0.0957735556417216,0.0250497017892644,0.0627205017640141,0,0,974,1768,2337,0,0,0.377665761923226,0.702982107355865,0.916111328890631,0,0,110,0,0,0,0,0.0426521907716169,0,0
