Tipo de Elección;Cargo;Fecha de Elección;Año de Elección;Inicio de Período;Fin de Período;Período;Id Región;Región;Circunscripción Senatorial;Distrito;Comuna;Circunscripción Electoral;Nombre Circunscripción Electoral;Sexo Mesa;Candidato (a);Nombres;Apellido Paterno;Apellido Materno;Sexo;Electo(a);Partido;Sigla Partido;Lista;Votos Totales
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;1;ARICA;HOMBRE;FIGUEROA LLONA CRISTIAN;CRISTIAN IGOR;FIGUEROA;LLONA;HOMBRE;;SOCIALISTA DE CHILE;PS;C;9106
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;1;ARICA;HOMBRE;OJEDA MURILLO CARLOS JORGE;CARLOS JORGE;OJEDA;MURILLO;HOMBRE;;HUMANISTA;PH;A;1270
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;1;ARICA;HOMBRE;VALCARCE MEDINA CARLOS;CARLOS RAUL;VALCARCE;MEDINA;HOMBRE;SI;RENOVACION NACIONAL;RN;B;13293
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;1;ARICA;HOMBRE;VARGAS PIZARRO ORLANDO SEVERO;ORLANDO SEVERO;VARGAS;PIZARRO;HOMBRE;;INDEPENDIENTE;IND;CI;6465
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;1;ARICA;HOMBRE;VOTOS NULOS; ;  ; ;; ; ; ; ;2639
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;1;ARICA;HOMBRE;VOTOS EN BLANCO; ;  ; ;; ; ; ; ;1115
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;2;ARICA;MUJER;FIGUEROA LLONA CRISTIAN;CRISTIAN IGOR;FIGUEROA;LLONA;HOMBRE;;SOCIALISTA DE CHILE;PS;C;10559
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;2;ARICA;MUJER;OJEDA MURILLO CARLOS JORGE;CARLOS JORGE;OJEDA;MURILLO;HOMBRE;;HUMANISTA;PH;A;1361
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;2;ARICA;MUJER;VALCARCE MEDINA CARLOS;CARLOS RAUL;VALCARCE;MEDINA;HOMBRE;SI;RENOVACION NACIONAL;RN;B;15890
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;2;ARICA;MUJER;VARGAS PIZARRO ORLANDO SEVERO;ORLANDO SEVERO;VARGAS;PIZARRO;HOMBRE;;INDEPENDIENTE;IND;CI;6586
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;2;ARICA;MUJER;VOTOS NULOS; ;  ; ;; ; ; ; ;3191
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;2;ARICA;MUJER;VOTOS EN BLANCO; ;  ; ;; ; ; ; ;988
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;599;SAN MIGUEL DE AZAPA;HOMBRE;FIGUEROA LLONA CRISTIAN;CRISTIAN IGOR;FIGUEROA;LLONA;HOMBRE;;SOCIALISTA DE CHILE;PS;C;31
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;599;SAN MIGUEL DE AZAPA;HOMBRE;OJEDA MURILLO CARLOS JORGE;CARLOS JORGE;OJEDA;MURILLO;HOMBRE;;HUMANISTA;PH;A;5
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;599;SAN MIGUEL DE AZAPA;HOMBRE;VALCARCE MEDINA CARLOS;CARLOS RAUL;VALCARCE;MEDINA;HOMBRE;SI;RENOVACION NACIONAL;RN;B;73
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;599;SAN MIGUEL DE AZAPA;HOMBRE;VARGAS PIZARRO ORLANDO SEVERO;ORLANDO SEVERO;VARGAS;PIZARRO;HOMBRE;;INDEPENDIENTE;IND;CI;30
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;599;SAN MIGUEL DE AZAPA;HOMBRE;VOTOS NULOS; ;  ; ;; ; ; ; ;14
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;599;SAN MIGUEL DE AZAPA;HOMBRE;VOTOS EN BLANCO; ;  ; ;; ; ; ; ;3
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;599;SAN MIGUEL DE AZAPA;MUJER;FIGUEROA LLONA CRISTIAN;CRISTIAN IGOR;FIGUEROA;LLONA;HOMBRE;;SOCIALISTA DE CHILE;PS;C;26
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;599;SAN MIGUEL DE AZAPA;MUJER;OJEDA MURILLO CARLOS JORGE;CARLOS JORGE;OJEDA;MURILLO;HOMBRE;;HUMANISTA;PH;A;9
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;599;SAN MIGUEL DE AZAPA;MUJER;VALCARCE MEDINA CARLOS;CARLOS RAUL;VALCARCE;MEDINA;HOMBRE;SI;RENOVACION NACIONAL;RN;B;88
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;599;SAN MIGUEL DE AZAPA;MUJER;VARGAS PIZARRO ORLANDO SEVERO;ORLANDO SEVERO;VARGAS;PIZARRO;HOMBRE;;INDEPENDIENTE;IND;CI;26
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;599;SAN MIGUEL DE AZAPA;MUJER;VOTOS NULOS; ;  ; ;; ; ; ; ;12
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;ARICA;599;SAN MIGUEL DE AZAPA;MUJER;VOTOS EN BLANCO; ;  ; ;; ; ; ; ;10
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;3;CAMARONES;HOMBRE;MERY AHUMADA HERNAN;HERNAN IPAX;MERY;AHUMADA;HOMBRE;;UNION DEMOCRATA INDEPENDIENTE;UDI;B;174
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;3;CAMARONES;HOMBRE;MUHLENBROCK CARVAJAL ROBERTO;ROBERTO ARTURO;MUHLENBROCK;CARVAJAL;HOMBRE;;INDEPENDIENTE;IND;CI;5
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;3;CAMARONES;HOMBRE;PACASA ACEVEDO ALFREDO;ALFREDO FRANCISCO;PACASA;ACEVEDO;HOMBRE;;INDEPENDIENTE;IND;E;6
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;3;CAMARONES;HOMBRE;SALGADO HENRIQUEZ SONIA ELIZABETH;SONIA ELIZABETH;SALGADO;HENRIQUEZ;MUJER;SI;DEMOCRATA CRISTIANO;PDC;C;332
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;3;CAMARONES;HOMBRE;TAYLOR MEZA ROXANA;ROXANA DEL CARMEN;TAYLOR;MEZA;MUJER;;COMUNISTA DE CHILE;PCCH;A;7
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;3;CAMARONES;HOMBRE;VOTOS NULOS; ;  ; ;; ; ; ; ;11
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;3;CAMARONES;HOMBRE;VOTOS EN BLANCO; ;  ; ;; ; ; ; ;9
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;3;CAMARONES;MUJER;MERY AHUMADA HERNAN;HERNAN IPAX;MERY;AHUMADA;HOMBRE;;UNION DEMOCRATA INDEPENDIENTE;UDI;B;181
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;3;CAMARONES;MUJER;MUHLENBROCK CARVAJAL ROBERTO;ROBERTO ARTURO;MUHLENBROCK;CARVAJAL;HOMBRE;;INDEPENDIENTE;IND;CI;12
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;3;CAMARONES;MUJER;PACASA ACEVEDO ALFREDO;ALFREDO FRANCISCO;PACASA;ACEVEDO;HOMBRE;;INDEPENDIENTE;IND;E;12
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;3;CAMARONES;MUJER;SALGADO HENRIQUEZ SONIA ELIZABETH;SONIA ELIZABETH;SALGADO;HENRIQUEZ;MUJER;SI;DEMOCRATA CRISTIANO;PDC;C;386
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;3;CAMARONES;MUJER;TAYLOR MEZA ROXANA;ROXANA DEL CARMEN;TAYLOR;MEZA;MUJER;;COMUNISTA DE CHILE;PCCH;A;7
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;3;CAMARONES;MUJER;VOTOS NULOS; ;  ; ;; ; ; ; ;18
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;3;CAMARONES;MUJER;VOTOS EN BLANCO; ;  ; ;; ; ; ; ;22
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;525;CODPA;HOMBRE;MERY AHUMADA HERNAN;HERNAN IPAX;MERY;AHUMADA;HOMBRE;;UNION DEMOCRATA INDEPENDIENTE;UDI;B;193
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;525;CODPA;HOMBRE;MUHLENBROCK CARVAJAL ROBERTO;ROBERTO ARTURO;MUHLENBROCK;CARVAJAL;HOMBRE;;INDEPENDIENTE;IND;CI;76
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;525;CODPA;HOMBRE;PACASA ACEVEDO ALFREDO;ALFREDO FRANCISCO;PACASA;ACEVEDO;HOMBRE;;INDEPENDIENTE;IND;E;14
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;525;CODPA;HOMBRE;SALGADO HENRIQUEZ SONIA ELIZABETH;SONIA ELIZABETH;SALGADO;HENRIQUEZ;MUJER;SI;DEMOCRATA CRISTIANO;PDC;C;479
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;525;CODPA;HOMBRE;TAYLOR MEZA ROXANA;ROXANA DEL CARMEN;TAYLOR;MEZA;MUJER;;COMUNISTA DE CHILE;PCCH;A;18
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;525;CODPA;HOMBRE;VOTOS NULOS; ;  ; ;; ; ; ; ;24
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;525;CODPA;HOMBRE;VOTOS EN BLANCO; ;  ; ;; ; ; ; ;10
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;525;CODPA;MUJER;MERY AHUMADA HERNAN;HERNAN IPAX;MERY;AHUMADA;HOMBRE;;UNION DEMOCRATA INDEPENDIENTE;UDI;B;201
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;525;CODPA;MUJER;MUHLENBROCK CARVAJAL ROBERTO;ROBERTO ARTURO;MUHLENBROCK;CARVAJAL;HOMBRE;;INDEPENDIENTE;IND;CI;94
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;525;CODPA;MUJER;PACASA ACEVEDO ALFREDO;ALFREDO FRANCISCO;PACASA;ACEVEDO;HOMBRE;;INDEPENDIENTE;IND;E;16
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;525;CODPA;MUJER;SALGADO HENRIQUEZ SONIA ELIZABETH;SONIA ELIZABETH;SALGADO;HENRIQUEZ;MUJER;SI;DEMOCRATA CRISTIANO;PDC;C;580
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;525;CODPA;MUJER;TAYLOR MEZA ROXANA;ROXANA DEL CARMEN;TAYLOR;MEZA;MUJER;;COMUNISTA DE CHILE;PCCH;A;13
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;525;CODPA;MUJER;VOTOS NULOS; ;  ; ;; ; ; ; ;25
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;CAMARONES;525;CODPA;MUJER;VOTOS EN BLANCO; ;  ; ;; ; ; ; ;13
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;GENERAL LAGOS;6;GENERAL LAGOS;HOMBRE;ALAVE PACO MARCELO;MARCELO JORGE;ALAVE;PACO;HOMBRE;;INDEPENDIENTE;IND;CI;43
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;GENERAL LAGOS;6;GENERAL LAGOS;HOMBRE;CHURA POMA RAUL;RAUL LORENZO ROSARIO;CHURA;POMA;HOMBRE;;DEMOCRATA CRISTIANO;PDC;C;278
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;GENERAL LAGOS;6;GENERAL LAGOS;HOMBRE;MENDOZA CHURA GREGORIO MARIO;GREGORIO MARIO;MENDOZA;CHURA;HOMBRE;SI;RENOVACION NACIONAL;RN;B;321
